year,adm_cd,adm_nm,cnt
2021,25030720,관저1동,6497
2021,25030730,관저2동,19261
2021,25030740,둔산3동,7858
2021,25040540,온천2동,22544
2021,25040550,신성동,11922
2021,25040570,전민동,11321
2021,25040590,노은1동,8812
2021,25040610,구즉동,11843
2021,25040630,관평동,10837
2021,25040640,온천1동,16929
2021,25040660,노은2동,9190
2021,25040670,노은3동,13859
2021,25040680,진잠동,10903
2021,25040690,학하동,7279
2021,25040700,상대동,6461
2021,25040710,원신흥동,12521
2021,25050510,오정동,8530
2021,25050520,대화동,3101
2021,25050530,회덕동,5202
2021,25050540,비래동,6551
2021,25050550,중리동,9416
2021,25050560,법1동,5822
2021,25050570,법2동,6628
2021,25050580,신탄진동,4798
2021,25050590,석봉동,6184
2021,25050600,덕암동,6125
2021,25050610,목상동,2972
2021,25050620,송촌동,9907
2022,25010530,효동,9198
2022,25010550,판암1동,5378
2022,25010560,판암2동,4779
2022,25010570,용운동,11587
2022,25010600,자양동,7896
2022,25010630,가양1동,6449
2022,25010640,가양2동,9036
2022,25010650,용전동,11152
2022,25010680,홍도동,5742
2022,25010730,대청동,960
2022,25010750,산내동,7824
2022,25010760,중앙동,2068
2022,25010770,신인동,6461
2022,25010780,대동,5697
2022,25010790,성남동,4836
2022,25010800,삼성동,5934
2022,25020510,은행선화동,7951
2022,25020530,목동,5595
2022,25020540,중촌동,6329
2022,25020550,대흥동,6592
2022,25020560,문창동,2159
2022,25020570,석교동,6769
2022,25020580,대사동,2901
2022,25020590,부사동,3040
2022,25020600,용두동,4763
2022,25020620,오류동,4666
2022,25020630,태평1동,4898
2022,25020640,태평2동,9249
2022,25020650,유천1동,3011
2022,25020660,유천2동,5913
2022,25020670,문화1동,8228
2022,25020680,문화2동,5618
2022,25020690,산성동,11368
2022,25030510,복수동,8861
2022,25030511,가수원동,4521
2022,25030512,도안동,13568
2022,25030520,도마1동,9891
2022,25030530,도마2동,8598
2022,25030540,정림동,6464
2022,25030550,변동,7018
2022,25030560,용문동,6796
2022,25030570,탄방동,14038
2022,25030590,둔산1동,5632
2022,25030600,둔산2동,14089
2022,25030610,괴정동,10992
2022,25030620,가장동,4709
2022,25030630,내동,9262
2022,25030640,갈마1동,11110
2022,25030650,갈마2동,12542
2022,25030660,월평1동,7001
2022,25030670,월평2동,6682
2022,25030680,월평3동,7446
2022,25030690,만년동,5751
2022,25030710,기성동,1349
2022,25030720,관저1동,6373
2022,25030730,관저2동,19141
2022,25030740,둔산3동,7784
2022,25040540,온천2동,21652
2022,25040550,신성동,11529
2022,25040570,전민동,11227
2022,25040590,노은1동,8674
2022,25040610,구즉동,12365
2022,25040630,관평동,10897
2022,25040640,온천1동,16750
2022,25040660,노은2동,9190
2022,25040670,노은3동,13855
2022,25040680,진잠동,11008
2022,25040690,학하동,8067
2022,25040700,상대동,8878
2022,25040710,원신흥동,12319
2022,25050510,오정동,8276
2022,25050520,대화동,3049
2022,25050530,회덕동,5089
2022,25050540,비래동,6561
2022,25050550,중리동,9533
2022,25050560,법1동,5735
2022,25050570,법2동,6556
2022,25050580,신탄진동,6380
2022,25050590,석봉동,6214
2022,25050600,덕암동,6074
2022,25050610,목상동,3019
2022,25050620,송촌동,9912
