gbn,gid,geometry,zoneName,공동주택,공원,기타,녹지,단독주택,도로,상업,하천,거주인구,사업체당종사자수,ALL_AADT,유동인구,가중혼잡도,녹지면적,예측_탄소배출량(통합),예측_탄소배출량(수송),예측_탄소흡수량
경기도 광명시,다사421384,"POLYGON ((126.84545034070638 37.4429666594302, 126.84544248889333 37.44386797577952, 126.84657291814072 37.443874230939, 126.84658075639594 37.442972914387084, 126.84545034070638 37.4429666594302))",광명시흥 공공주택지구,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.3,0.9,0.0,4.2,1.8,0.0,0.0,13.96,0.02
경기도 광명시,다사423384,"POLYGON ((126.84771117243457 37.44297915853361, 126.8477033477372 37.44388047528774, 126.84883377768212 37.44388670882574, 126.84884158882163 37.44298539186973, 126.84771117243457 37.44297915853361))",광명시흥 공공주택지구,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.4,0.9,0.0,4.2,1.8,0.0,0.0,13.96,0.02
경기도 광명시,다사423385,"POLYGON ((126.8477033477372 37.44388047528774, 126.84769552269135 37.44478179190267, 126.84882596619477 37.444788025642545, 126.84883377768212 37.44388670882574, 126.8477033477372 37.44388047528774))",광명시흥 공공주택지구,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.4,0.9,0.0,4.2,1.8,0.0,0.0,13.96,0.02
경기도 광명시,다사422384,"POLYGON ((126.84658075639594 37.442972914387084, 126.84657291814072 37.443874230939, 126.8477033477372 37.44388047528774, 126.84771117243457 37.44297915853361, 126.84658075639594 37.442972914387084))",광명시흥 공공주택지구,0.8648319935697568,0.0,0.0,0.0,0.0,0.13516800643024318,0.0,0.0,379.2,0.9,4569.6,4.3,1.9,0.0,0.0,20.58,0.02
경기도 광명시,다사422383,"POLYGON ((126.8465885943021 37.442071597696, 126.84658075639594 37.442972914387084, 126.84771117243457 37.44297915853361, 126.84771899678348 37.442077841640305, 126.8465885943021 37.442071597696))",광명시흥 공공주택지구,0.5334605752280729,0.04748806603125616,0.0,0.07052529018523868,0.0,0.3485260685554323,0.0,0.0,204.1,0.9,21841.0,4.9,3.1,3.5,0.0,80.47,0.03
경기도 광명시,다사425384,"POLYGON ((126.84997200555655 37.44299161439547, 126.84996420797492 37.44389293155298, 126.85109463861497 37.443899143469466, 126.85110242263873 37.442997826110776, 126.84997200555655 37.44299161439547))",광명시흥 공공주택지구,0.0,0.9820593460314865,0.0,0.0,0.0,0.017940653968513482,0.0,0.0,0.0,0.1,1234.5,2.8,1.3,1121.9,0.0,0.87,2.91
경기도 광명시,다사424385,"POLYGON ((126.84883377768212 37.44388670882574, 126.84882596619477 37.444788025642545, 126.84995641004605 37.44479424857132, 126.84996420797492 37.44389293155298, 126.84883377768212 37.44388670882574))",광명시흥 공공주택지구,0.9654705966090379,0.03452940339096215,0.0,0.0,0.0,0.0,0.0,0.0,585.5,0.9,0.0,3.9,1.8,5.3,0.0,13.96,0.03
경기도 광명시,다사423383,"POLYGON ((126.84771899678348 37.442077841640305, 126.84771117243457 37.44297915853361, 126.84884158882163 37.44298539186973, 126.84884939961329 37.44208407477456, 126.84771899678348 37.442077841640305))",광명시흥 공공주택지구,0.5276966306615624,0.1999396593031072,0.0,0.0,0.0,0.2723637100353306,0.0,0.0,320.0,0.9,11811.2,4.0,1.9,256.6,0.0,26.01,0.68
경기도 광명시,다사424384,"POLYGON ((126.84884158882163 37.44298539186973, 126.84883377768212 37.44388670882574, 126.84996420797492 37.44389293155298, 126.84997200555655 37.44299161439547, 126.84884158882163 37.44298539186973))",광명시흥 공공주택지구,0.7602619571851871,0.2397380428148128,0.0,0.0,0.0,0.0,0.0,0.0,461.0,0.8,0.0,3.6,1.8,655.1,0.0,13.96,1.71
경기도 광명시,다사425385,"POLYGON ((126.84996420797492 37.44389293155298, 126.84995641004605 37.44479424857132, 126.85108685424458 37.444800460688974, 126.85109463861497 37.443899143469466, 126.84996420797492 37.44389293155298))",광명시흥 공공주택지구,0.0016116516571572277,0.9983883483428428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,0.0,3.4,2.4,7768.6,0.0,20.97,19.99
경기도 광명시,다사423356,"POLYGON ((126.84793012254944 37.417742232911976, 126.84792230760253 37.418643553562916, 126.84905235815546 37.41864978145033, 126.8490601595614 37.41774846059764, 126.84793012254944 37.417742232911976))",광명시흥 공공주택지구,0.0,0.0,0.8148616080465552,0.0,0.0,0.16323447296731045,0.021903918986134422,0.0,321.7,1.4,12753.0,6.1,2.6,99.9,27.72,34.32,0.28
경기도 광명시,다사428370,"POLYGON ((126.85347181828986 37.430391753858636, 126.85346406621656 37.43129307356683, 126.85459430813849 37.431299250249694, 126.8546020466623 37.43039793034146, 126.85347181828986 37.430391753858636))",광명시흥 공공주택지구,0.0,0.13066553037789058,0.0,0.0,0.0,0.8693344696221095,0.0,0.0,0.0,0.1,97505.2,4.4,9.2,2106.6,0.0,989.57,5.44
경기도 광명시,다사426372,"POLYGON ((126.85119580389025 37.43218200695127, 126.85118802402513 37.43308332597997, 126.85231829235674 37.433089524676134, 126.85232605867122 37.43218820544668, 126.85119580389025 37.43218200695127))",광명시흥 공공주택지구,0.0,0.7214466254069807,0.0,0.0,0.0,0.27855337459301927,0.0,0.0,0.0,1.0,17659.9,4.2,3.2,389.1,0.0,96.71,1.02
경기도 광명시,다사421376,"POLYGON ((126.84551314262438 37.43575612362449, 126.84550529360813 37.43665744108739, 126.8466356144098 37.43666369462642, 126.84664344987306 37.435762376961, 126.84551314262438 37.43575612362449))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사424375,"POLYGON ((126.848911873426 37.434873533002644, 126.84890406541655 37.43577485121125, 126.85003437371017 37.43578107212497, 126.85004216816718 37.434879753714895, 126.848911873426 37.434873533002644))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사423376,"POLYGON ((126.84777375747065 37.43576861948992, 126.84776593556043 37.43666993735752, 126.84889625705937 37.43667616928069, 126.84890406541655 37.43577485121125, 126.84777375747065 37.43576861948992))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사425374,"POLYGON ((126.85004996227711 37.433978435165635, 126.85004216816718 37.434879753714895, 126.85117246325548 37.434885963619884, 126.85118024381354 37.4339846448695, 126.85004996227711 37.433978435165635))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사427372,"POLYGON ((126.85232605867122 37.43218820544668, 126.85231829235674 37.433089524676134, 126.85344856103424 37.43309571256573, 126.853456313798 37.43219439313585, 126.85232605867122 37.43218820544668))",광명시흥 공공주택지구,0.0,0.9869226053212554,0.0,0.0,0.0,0.013077394678744591,0.0,0.0,0.0,1.4,932.9,4.6,1.5,4187.7,0.0,3.8,10.79
경기도 광명시,다사422376,"POLYGON ((126.84664344987306 37.435762376961, 126.8466356144098 37.43666369462642, 126.84776593556043 37.43666993735752, 126.84777375747065 37.43576861948992, 126.84664344987306 37.435762376961))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사425355,"POLYGON ((126.8501979844389 37.4168533562895, 126.85019019692072 37.41775467748272, 126.85132023462685 37.41776088356717, 126.85132800860463 37.416859562172924, 126.8501979844389 37.4168533562895))",광명시흥 공공주택지구,0.0,0.0,0.08078213603443152,0.0,0.0,0.4422388390151237,0.4769790249504449,0.0,0.0,0.8,35164.0,12.1,4.6,0.0,0.0,341.11,0.02
경기도 광명시,다사425397,"POLYGON ((126.84987060990446 37.45470872658678, 126.84986280780718 37.45561004193485, 126.8509934147548 37.455616256466996, 126.85100120328633 37.45471494091769, 126.84987060990446 37.45470872658678))",광명시흥 공공주택지구,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.3,1.6,0.0,0.0,8.11,0.02
경기도 광명시,다사424397,"POLYGON ((126.84874001687002 37.4547025014409, 126.84873220120703 37.4556038165874, 126.84986280780718 37.45561004193485, 126.84987060990446 37.45470872658678, 126.84874001687002 37.4547025014409))",광명시흥 공공주택지구,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.3,1.6,0.0,0.0,8.11,0.02
경기도 광명시,다사426397,"POLYGON ((126.85100120328633 37.45471494091769, 126.8509934147548 37.455616256466996, 126.85212402204928 37.45562246018381, 126.85213179701508 37.45472114443361, 126.85100120328633 37.45471494091769))",광명시흥 공공주택지구,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.3,1.6,0.0,0.0,8.11,0.02
