year,adm_cd,adm_nm,bn_cd,bn_nm,cnt
2019,33041520,성안동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",306
2019,33041530,탑·대성동,cp_bnu_003,제조업,20
2019,33041530,탑·대성동,cp_bnu_006,건설업,10
2019,33041530,탑·대성동,cp_bnu_007,도매 및 소매업,104
2019,33041530,탑·대성동,cp_bnu_009,숙박 및 음식점업,76
2019,33041530,탑·대성동,cp_bnu_012,부동산업,11
2019,33041530,탑·대성동,cp_bnu_013,"전문, 과학 및 기술 서비스업",6
2019,33041530,탑·대성동,cp_bnu_016,교육 서비스업,18
2019,33041530,탑·대성동,cp_bnu_017,보건업 및 사회복지 서비스업,18
2019,33041530,탑·대성동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",10
2019,33041530,탑·대성동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",81
2019,33041540,영운동,cp_bnu_003,제조업,25
2019,33041540,영운동,cp_bnu_006,건설업,40
2019,33041540,영운동,cp_bnu_007,도매 및 소매업,117
2019,33041540,영운동,cp_bnu_008,운수 및 창고업,6
2019,33041540,영운동,cp_bnu_009,숙박 및 음식점업,93
2019,33041540,영운동,cp_bnu_011,금융 및 보험업,7
2019,33041540,영운동,cp_bnu_012,부동산업,21
2019,33041540,영운동,cp_bnu_013,"전문, 과학 및 기술 서비스업",15
2019,33041540,영운동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",16
2019,33041540,영운동,cp_bnu_016,교육 서비스업,15
2019,33041540,영운동,cp_bnu_017,보건업 및 사회복지 서비스업,23
2019,33041540,영운동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",11
2019,33041540,영운동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",107
2019,33041550,금천동,cp_bnu_003,제조업,44
2019,33041550,금천동,cp_bnu_006,건설업,57
2019,33041550,금천동,cp_bnu_007,도매 및 소매업,320
2019,33041550,금천동,cp_bnu_008,운수 및 창고업,10
2019,33041550,금천동,cp_bnu_009,숙박 및 음식점업,296
2019,33041550,금천동,cp_bnu_010,정보통신업,7
2019,33041550,금천동,cp_bnu_011,금융 및 보험업,10
2019,33041550,금천동,cp_bnu_012,부동산업,66
2019,33041550,금천동,cp_bnu_013,"전문, 과학 및 기술 서비스업",31
2019,33041550,금천동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",18
2019,33041550,금천동,cp_bnu_016,교육 서비스업,125
