year,adm_cd,adm_nm,bn_cd,bn_nm,cnt
2019,25010650,용전동,cp_bnu_010,정보통신업,16
2019,25010650,용전동,cp_bnu_011,금융 및 보험업,13
2019,25010650,용전동,cp_bnu_012,부동산업,73
2019,25010650,용전동,cp_bnu_013,"전문, 과학 및 기술 서비스업",28
2019,25010650,용전동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",32
2019,25010650,용전동,cp_bnu_016,교육 서비스업,47
2019,25010650,용전동,cp_bnu_017,보건업 및 사회복지 서비스업,56
2019,25010650,용전동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",57
2019,25010650,용전동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",260
2019,25010680,홍도동,cp_bnu_003,제조업,79
2019,25010680,홍도동,cp_bnu_006,건설업,37
2019,25010680,홍도동,cp_bnu_007,도매 및 소매업,206
2019,25010680,홍도동,cp_bnu_008,운수 및 창고업,9
2019,25010680,홍도동,cp_bnu_009,숙박 및 음식점업,165
2019,25010680,홍도동,cp_bnu_011,금융 및 보험업,7
2019,25010680,홍도동,cp_bnu_012,부동산업,29
2019,25010680,홍도동,cp_bnu_013,"전문, 과학 및 기술 서비스업",7
2019,25010680,홍도동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",14
2019,25010680,홍도동,cp_bnu_016,교육 서비스업,20
2019,25010680,홍도동,cp_bnu_017,보건업 및 사회복지 서비스업,26
2019,25010680,홍도동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",31
2019,25010680,홍도동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",92
2019,25010730,대청동,cp_bnu_007,도매 및 소매업,23
2019,25010730,대청동,cp_bnu_009,숙박 및 음식점업,51
2019,25010730,대청동,cp_bnu_016,교육 서비스업,5
2019,25010730,대청동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",15
2019,25010750,산내동,cp_bnu_003,제조업,303
2019,25010750,산내동,cp_bnu_006,건설업,73
2019,25010750,산내동,cp_bnu_007,도매 및 소매업,406
